num,"C(0,1)",cv,cl,f'c(Mpa),ρc(kg/m3),da(mm),"rd(0,1)",d(mm),b(mm),w(mm),tn(mm),dt(mm),Av(mm2),Al(mm2),Vf,lf,df,fv,fl,v
205,1,0,0,36.2,1590,8,0,200,120,380,0,280,0,0,0,0,0,0,0,2.633333333
206,1,0,0,31.8,1593,13,0,200,120,380,0,280,0,0,0,0,0,0,0,2.541666667
207,1,0,0,37.4,1552,19,0,200,120,380,0,280,0,0,0,0,0,0,0,3.058333333
208,1,0,0,34.8,2241,4,0,200,120,380,0,280,0,0,0,0,0,0,0,1.920833333
209,1,0,0,29.9,1875,8,0,200,120,380,0,280,0,0,0,0,0,0,0,2.55
210,1,0,0,36,1865,13,0,200,120,380,0,280,0,0,0,0,0,0,0,2.8375
211,1,0,0,33,1788,19,0,200,120,380,0,280,0,0,0,0,0,0,0,3.191666667
212,1,0,0,25.8,2257,4,0,200,120,380,0,280,0,0,0,0,0,0,0,1.7
213,1,0,0,29.6,2322,8,0,200,120,380,0,280,0,0,0,0,0,0,0,2.791666667
214,1,0,0,27.4,2335,13,0,200,120,380,0,280,0,0,0,0,0,0,0,3.008333333
215,1,0,0,36.2,2348,19,0,200,120,380,0,280,0,0,0,0,0,0,0,3.891666667
216,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
217,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
218,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
219,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
220,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
221,1,0,0,19.671,2355,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.86
222,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
223,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
224,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
225,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
226,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
227,1,0,0,28.677,2357.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.43
228,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
229,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
230,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
231,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
232,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
233,1,0,0,43.292,2393,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.11
234,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
235,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
236,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
237,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
238,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
239,1,0,0,44.24,2435.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.67
240,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
241,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
242,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
243,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
244,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
245,1,0,0,17.538,2363,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.11
246,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
247,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
248,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
249,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
250,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
